PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1534 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=1639 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1764 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1847 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1894 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=1963 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=2005 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1991 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=2024 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=2116 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=2233 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=2323 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=2399 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=2481 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=2587 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=2635 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=2769 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=2858 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=2985 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=3073 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=3181 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=3277 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=3368 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=3462 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=3568 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=3620 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=3609 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=3644 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=3746 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=3839 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=3933 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=4052 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=4147 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=4262 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=4364 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=4402 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=4510 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=4597 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=4692 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=4793 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=4876 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=5003 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=5034 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=5194 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=5322 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=5417 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=5503 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=5627 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=5727 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=5830 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=5936 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=6031 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=6115 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=6215 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=6344 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=6425 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=6519 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=6616 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=6714 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=6844 ms
